,Worker,Job Profile,Department,Cross Appointments,IQC,CAMJ,CPTT,Climate,IPR,WCA,CTN,Game,WAT.AI,GHPI,WISA,MICRO,WISE,CCMIC,CPI,WICI,WIN,Water,CBB
186,Ricardo Fukasawa,Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
187,Stephen Vavasis,Professor,Combinatorics and Optimization,AMATH,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
188,William J. Cook,Professor,Combinatorics and Optimization,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
210,Andrew Zucker,Assistant Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
211,Elana Kalashnikov,Assistant Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
212,Kateryna Tatarko,Assistant Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
213,Xuemiao Chen,Assistant Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
214,Benjamin Webster,Associate Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
215,Benoit Charbonneau,Associate Professor,Pure Mathematics,PHYS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
216,Matthew Kennedy,Associate Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
217,Matthew Satriano,Associate Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
218,Michael Brannan,Associate Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
219,Ruxandra Moraru,Associate Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
220,William Slofstra,Associate Professor,Pure Mathematics,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
221,Xiaoheng Wang,Associate Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
224,Alexandru Nica,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
225,B. Doug Park,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
226,Barbara Csima,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
227,Brian Forrest,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
228,Cameron Stewart,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
229,David McKinnon,Professor,Pure Mathematics,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
230,Jason Bell,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
231,Kevin Hare,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
232,Laurent Marcoux,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
233,Michael Rubinstein,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
234,Nicolaas Spronk,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
235,Rahim Moosa,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
236,Ross Willard,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
237,Spiro Karigiannis,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
238,Wentang Kuo,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
239,Yu-Ru Liu,Professor,Pure Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
240,Alex Stringer,Assistant Professor,Statistics and Actuarial Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
241,Audrey Beliveau,Assistant Professor,Statistics and Actuarial Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
242,Aukosh Jagannath,Assistant Professor,Statistics and Actuarial Science,AMATH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
243,Ben Feng,Assistant Professor,Statistics and Actuarial Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
244,Fan Yang,Assistant Professor,Statistics and Actuarial Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
245,Fangda Liu,Assistant Professor,Statistics and Actuarial Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
246,Glen McGee,Assistant Professor,Statistics and Actuarial Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
247,Lan Wen,Assistant Professor,Statistics and Actuarial Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
248,Liqun Diao,Assistant Professor,Statistics and Actuarial Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
249,Lisa Gao,Assistant Professor,Statistics and Actuarial Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
250,Nathaniel Stevens,Assistant Professor,Statistics and Actuarial Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
251,Peijun Sang,Assistant Professor,Statistics and Actuarial Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
